,Day,chanel: (Worldwide),Unnamed: 2,refined
243,2019-08-01,40,,42.32187251523986
244,2019-08-02,41,,42.576974556056186
245,2019-08-03,45,,41.18666843360721
246,2019-08-04,46,,40.18467399946992
247,2019-08-05,40,,42.234024648820565
248,2019-08-06,39,,40.73768884177048
249,2019-08-07,39,,40.75809700503578
250,2019-08-08,45,,47.32187251523986
251,2019-08-09,42,,43.576974556056186
252,2019-08-10,45,,41.18666843360721
253,2019-08-11,47,,41.18467399946992
254,2019-08-12,42,,44.234024648820565
255,2019-08-13,41,,42.73768884177048
256,2019-08-14,39,,40.75809700503578
257,2019-08-15,40,,42.32187251523986
258,2019-08-16,42,,43.576974556056186
259,2019-08-17,45,,41.18666843360721
260,2019-08-18,45,,39.18467399946992
261,2019-08-19,41,,43.234024648820565
262,2019-08-20,39,,40.73768884177048
263,2019-08-21,39,,40.75809700503578
264,2019-08-22,39,,41.32187251523986
265,2019-08-23,39,,40.576974556056186
266,2019-08-24,45,,41.18666843360721
267,2019-08-25,46,,40.18467399946992
268,2019-08-26,39,,41.234024648820565
269,2019-08-27,40,,41.73768884177048
270,2019-08-28,40,,41.75809700503578
271,2019-08-29,43,,45.32187251523986
272,2019-08-30,41,,42.576974556056186
273,2019-08-31,44,,40.18666843360721
274,2019-09-01,48,,42.18467399946992
275,2019-09-02,40,,42.234024648820565
276,2019-09-03,39,,40.73768884177048
277,2019-09-04,47,,48.75809700503578
278,2019-09-05,49,,51.32187251523986
279,2019-09-06,43,,44.576974556056186
280,2019-09-07,47,,43.18666843360721
281,2019-09-08,49,,43.18467399946992
282,2019-09-09,42,,44.234024648820565
283,2019-09-10,39,,40.73768884177048
284,2019-09-11,39,,40.75809700503578
285,2019-09-12,42,,44.32187251523986
286,2019-09-13,41,,42.576974556056186
287,2019-09-14,47,,43.18666843360721
288,2019-09-15,50,,44.18467399946992
289,2019-09-16,42,,44.234024648820565
290,2019-09-17,40,,41.73768884177048
291,2019-09-18,43,,44.75809700503578
292,2019-09-19,43,,45.32187251523986
293,2019-09-20,43,,44.576974556056186
294,2019-09-21,50,,46.18666843360721
295,2019-09-22,51,,45.18467399946992
296,2019-09-23,48,,50.234024648820565
297,2019-09-24,44,,45.73768884177048
298,2019-09-25,41,,42.75809700503578
299,2019-09-26,41,,43.32187251523986
300,2019-09-27,42,,43.576974556056186
301,2019-09-28,49,,45.18666843360721
302,2019-09-29,50,,44.18467399946992
303,2019-09-30,41,,43.234024648820565
304,2019-10-01,51,,52.73768884177048
305,2019-10-02,48,,49.75809700503578
306,2019-10-03,45,,47.32187251523986
307,2019-10-04,44,,45.576974556056186
308,2019-10-05,48,,44.18666843360721
309,2019-10-06,50,,44.18467399946992
310,2019-10-07,42,,44.234024648820565
311,2019-10-08,42,,43.73768884177048
312,2019-10-09,41,,42.75809700503578
313,2019-10-10,43,,45.32187251523986
314,2019-10-11,42,,43.576974556056186
315,2019-10-12,47,,43.18666843360721
316,2019-10-13,47,,41.18467399946992
317,2019-10-14,43,,45.234024648820565
318,2019-10-15,41,,42.73768884177048
319,2019-10-16,43,,44.75809700503578
320,2019-10-17,40,,42.32187251523986
321,2019-10-18,43,,44.576974556056186
322,2019-10-19,47,,43.18666843360721
323,2019-10-20,48,,42.18467399946992
324,2019-10-21,42,,44.234024648820565
325,2019-10-22,41,,42.73768884177048
326,2019-10-23,43,,44.75809700503578
327,2019-10-24,42,,44.32187251523986
328,2019-10-25,44,,45.576974556056186
329,2019-10-26,46,,42.18666843360721
330,2019-10-27,48,,42.18467399946992
331,2019-10-28,43,,45.234024648820565
332,2019-10-29,43,,44.73768884177048
333,2019-10-30,41,,42.75809700503578
334,2019-10-31,39,,41.32187251523986
335,2019-11-01,42,,43.576974556056186
336,2019-11-02,48,,44.18666843360721
337,2019-11-03,52,,46.18467399946992
338,2019-11-04,44,,46.234024648820565
339,2019-11-05,44,,45.73768884177048
340,2019-11-06,44,,45.75809700503578
341,2019-11-07,45,,47.32187251523986
342,2019-11-08,45,,46.576974556056186
343,2019-11-09,52,,48.18666843360721
344,2019-11-10,52,,46.18467399946992
345,2019-11-11,45,,47.234024648820565
346,2019-11-12,44,,45.73768884177048
347,2019-11-13,43,,44.75809700503578
348,2019-11-14,43,,45.32187251523986
349,2019-11-15,45,,46.576974556056186
350,2019-11-16,54,,50.18666843360721
351,2019-11-17,56,,50.18467399946992
352,2019-11-18,45,,47.234024648820565
353,2019-11-19,43,,44.73768884177048
354,2019-11-20,45,,46.75809700503578
355,2019-11-21,48,,50.32187251523986
356,2019-11-22,53,,54.576974556056186
357,2019-11-23,54,,50.18666843360721
358,2019-11-24,56,,50.18467399946992
359,2019-11-25,50,,52.234024648820565
360,2019-11-26,49,,50.73768884177048
361,2019-11-27,51,,52.75809700503578
362,2019-11-28,56,,58.32187251523986
363,2019-11-29,64,,65.57697455605619
364,2019-11-30,62,,58.18666843360721
365,2019-12-01,65,,59.18467399946992
366,2019-12-02,56,,58.234024648820565
367,2019-12-03,51,,52.73768884177048
368,2019-12-04,53,,54.75809700503578
369,2019-12-05,54,,56.32187251523986
370,2019-12-06,55,,56.576974556056186
371,2019-12-07,62,,58.18666843360721
372,2019-12-08,64,,58.18467399946992
373,2019-12-09,57,,59.234024648820565
374,2019-12-10,56,,57.73768884177048
375,2019-12-11,54,,55.75809700503578
376,2019-12-12,54,,56.32187251523986
377,2019-12-13,55,,56.576974556056186
378,2019-12-14,62,,58.18666843360721
379,2019-12-15,67,,61.18467399946992
380,2019-12-16,61,,63.234024648820565
381,2019-12-17,58,,59.73768884177048
382,2019-12-18,58,,59.75809700503578
383,2019-12-19,58,,60.32187251523986
384,2019-12-20,58,,59.576974556056186
385,2019-12-21,67,,63.18666843360721
386,2019-12-22,66,,60.18467399946992
387,2019-12-23,64,,66.23402464882057
388,2019-12-24,63,,64.73768884177048
389,2019-12-25,68,,69.75809700503578
390,2019-12-26,61,,63.32187251523986
391,2019-12-27,59,,60.576974556056186
392,2019-12-28,62,,58.18666843360721
393,2019-12-29,60,,54.18467399946992
394,2019-12-30,53,,55.234024648820565
395,2019-12-31,48,,49.73768884177048
